id,name_en,name_ar,slug,lat,lon,parent_id,gov_en,gov_ar
EG2102,Al-Aguza,قسم العجوزة,al-aguza-eg2102,30.059,31.204,EG21,Giza,الجيزة
EG2106,Al-Ahram,قسم الأهرام,al-ahram-eg2106,29.99,31.136,EG21,Giza,الجيزة
EG0302,Al-Arab,قسم العرب,al-arab-eg0302,31.262,32.294,EG03,Port Said,بورسعيد
EG0402,Al-Arbiin,قسم الأربعين,al-arbiin-eg0402,29.98,32.536,EG04,Suez,السويس
EG1704,Al-Bagur,مركز الباجور,al-bagur-eg1704,30.413,31.032,EG17,Menoufia,المنوفية
EG2605,Al-Balyana,مركز البلينا,al-balyana-eg2605,26.241,31.944,EG26,Suhag,سوهاج
EG0305,Al-Dawahy,قسم الضواحى,al-dawahy-eg0305,31.246,32.28,EG03,Port Said,بورسعيد
EG1805,Al-Dilingat,مركز الدلنجات,al-dilingat-eg1805,30.81,30.49,EG18,Behera,البحيرة
EG0405,Al-Ganayin,قسم الجناين,al-ganayin-eg0405,30.063,32.703,EG04,Suez,السويس
EG0306,Al-Ganoub,قسم الجنوب,al-ganoub-eg0306,31.141,32.291,EG03,Port Said,بورسعيد
EG0311,Al-Ganoub 2,قسم ثان الجنوب,al-ganoub-2-eg0311,30.993,32.254,EG03,Port Said,بورسعيد
EG2508,Al-Ghanayem,مركز الغنايم,al-ghanayem-eg2508,26.922,31.329,EG25,Assiut,أسيوط
EG3302,Al-Hammam,قسم الحمام,al-hammam-eg3302,29.804,29.418,EG33,Matrouh,مطروح
EG3406,Al-Hasna,قسم الحسنة,al-hasna-eg3406,30.288,33.542,EG34,North Sinai,شمال سيناء
EG1306,Al-Husayniya,مركز الحسينية,al-husayniya-eg1306,30.924,32.006,EG13,Sharkia,الشرقية
EG3201,Al-Kharga Oasis,مركز الواحات الخارجة,al-kharga-oasis-eg3201,24.964,31.013,EG32,New Valley,الوادى الجديد
EG1806,Al-Mahmudiyya,مركز المحمودية,al-mahmudiyya-eg1806,31.197,30.488,EG18,Behera,البحيرة
EG0310,Al-Manasra,قسم المناصرة,al-manasra-eg0310,31.237,32.173,EG03,Port Said,بورسعيد
EG2606,Al-Maragha,مركز المراغة,al-maragha-eg2606,26.669,31.588,EG26,Suhag,سوهاج
EG2607,Al-Minshat,مركز المنشأة,al-minshat-eg2607,26.464,31.756,EG26,Suhag,سوهاج
EG0303,Al-Munakh,قسم المناخ,al-munakh-eg0303,31.265,32.287,EG03,Port Said,بورسعيد
EG1318,Al-Qanayat,قسم القنايات,al-qanayat-eg1318,30.635,31.471,EG13,Sharkia,الشرقية
EG2509,Al-Qusia,مركز القوصية,al-qusia-eg2509,27.403,30.826,EG25,Assiut,أسيوط
EG1815,Al-Rahmaniyya,مركز الرحمانية,al-rahmaniyya-eg1815,31.106,30.584,EG18,Behera,البحيرة
EG1307,Al-Salhiyya,قسم الصالحية الجديدة,al-salhiyya-eg1307,30.634,32.006,EG13,Sharkia,الشرقية
EG0301,Al-Sharq,قسم الشرق,al-sharq-eg0301,31.263,32.307,EG03,Port Said,بورسعيد
EG1705,Al-Shuhada,مركز الشهداء,al-shuhada-eg1705,30.601,30.87,EG17,Menoufia,المنوفية
EG3501,Al-Tur,قسم الطور,al-tur-eg3501,28.365,33.753,EG35,South Sinai,جنوب سيناء
